Reference,Article type,Years of data collection,Coordinates,Surrounding landscape,Forest type,Focal taxa,Pathways,
"Burke, D., and E. Nol. 2001. Age ratios and return rates of adult male Ovenbirds in contiguous and fragmented forests. Journal of Field Ornithology, 72: 433-438.",article,1996-1999,"41, -78",,,OVEN,patch size > reproductive success > population decline + population age structure; patch size > male return rate > territory vacancy > male age + body condition,
"Richmond, S., E. Nol, and D. Burke. 2012. Local-versus landscape-scale effects on the demography of three forest-breeding songbirds in Ontario, Canada. Canadian Journal of Zoology, 90: 815-828.",article,2000-2005,"44, -78","agriculture, housing development",,"WOTH, AMRO, OVEN",patch size > pairing success + population density; patch size > clutch size + daily nest survival; leaf litter depth > population density + pairing success + reproductive success; sapling density > pairing success; forb cover > nest success;,
"Fauth, P.T. 2000. Reproductive success of Wood Thrushes in forest fragments in northern Indiana. The Auk, 117: 194-204.",article,1994-1995,"40, -86*","winter wheat, golf courses, fallow fields, lawns",,WOTH,patch size > reproductive success + population density; patch size > nest predation + brood parasitism > nest success > reproductive success; distance to edge > nest success; nest success > renesting attempts + dispersal; reproductive success > population density;,
"Brenner, F.J., and R. Berad. 1998. Relationship between fragmentation and woodlot characteristics on breeding birds. Journal of the Pennsylvania Academy of Science, 71: 73-77.",local journal,<1998,"40, -80*",,maple beech birch,community,patch size > tree diversity > population density; patch size > basal area,
"Means, J.L., and K.E. Medley. 2010. Old regrowth forest patches as habitat for the conservation of avian diversity in a southwest Ohio landscape. Ohio Journal of Science, 110: 86-93.",local journal article,2009,"39, -84*",development,maple beech birch,community,patch size > dbh + understory vegetation + shrub density + canopy cover > bird community,
"Sabine, D.L., A.H. Boer, and W.B. Ballard. 1996. Impacts of habitat fragmentation on pairing success of male ovenbirds, Seiurus aurocapillus, in southern New Brunswick. Canadian Field Naturalist, 110: 688-693.",article,1992-1993,"45, -65",abrupt edges',maple beech birch,OVEN,patch size > habitat quality > pairing success; patch size + distance to edge > invertebrate abundance > food availability > habitat quality > bird density,
"Donnelly, R., and J.M. Marzluff. 2004. Importance of reserve size and landscape context to urban bird conservation. Conservation Biology, 18: 733-745.",article,1998,"47, -122","residential development, urban",douglas fir,"SWTH, AMRO",patch size + understory vegetation + canopy cover + invasive species + tree density > bird community + bird abundance; patch size > nest success > number of fledglings; patch size > nest density; ,
"Siepielski, A.M., and C.W. Benkman. 2005. A role for habitat area in the geographic mosaic of coevolution between red crossbills and lodgepole pine. Journal of Evolutionary Biology, 18: 1042-1049.",article,2001-2002,"49, -117*","natural, glacial retreat",lodgepole pine,RECR,patch size + squirrel abundance > bird abundance,
"West, B.M. 2020. Bird-habitat relationships in southern Iowa forests. Iowa State University.",thesis,2016-2019,"40, -93*","pine plantation, wetland, grassland, pasture, crop fields",oak-hickory,community,distance to edge > bird community,
"Paszkowski, C.A., N.S. Sodhi, S. Jamieson, and S.A. Zohar. 2004. Habitat use and foraging behavior of male black-and-white warblers (Mniotilta varia) in forest fragments and in a contiguous boreal forest. Ornithological Science, 3: 75-84.",article,1993-1994,"54, -113","pasture, crop land",aspen birch,BAWW,patch size > dbh + vegetation structure + shrub density + canopy cover + ground cover; patch size > foraging behavior; ,
"Churchill, J.L., and S.J. Hannon. 2010. Off-territory movement of male American redstarts (Setophaga ruticilla) in a fragmented agricultural landscape is related to song rate, mating status and access to females. Journal of Ornithology, 151: 33.",article,2003-2004,"54, -113","agriculture; pasture, crops",aspen birch,AMRE,patch size > off-territory movements; breeding state + male age + song + body condition + pairing status > movement; breeding density + breeding synchrony + forest cover > access to females > movement; movement > extra-pair fertilization + cuckoldry; male quality > movement > extra-pair fertilization; movement > encounter probability > extra-pair fertilization,
"Groom, J.D. 2003. Distribution, territorial limitations, and patch colonization dynamics of bird species in a fragmented temperate-zone woodland landscape. The Ohio State University.",thesis,1998,"40, -83*","fields, pasture, wetland",,"EAWP, REVI",patch size > bird community + bird abundance; gap width > movement + territory defense;,
"Sykes, A.K., and S.J. Hannon. 2001. Fencerows as habitat for birds in an agricultural landscape in central Alberta, Canada. Ecoscience, 8: 441-449.",article,1993-1994,"54, -113",agriculture,aspen birch,community,patch size > ground cover + shrub density + dbh + canopy cover > bird species richness + territory density,
"Kaiser, S.A., and C.A. Lindell. 2007. Effects of distance to edge and edge type on nestling growth and nest survival in the wood thrush. The Condor, 109: 288-303.",article,2002,"42, -85","roads, residential, agricultural, timber",oak hickory,WOTH,distance to edge >  nestling growth rate; distance to edge > nest survival; brood size + brood parasitism + hatch date > nestling growth rate; nest survival > reproductive success,
"Kluza, D.A., C.R. Griffin, and R.M. DeGraaf. 2000. Housing developments in rural New England: effects on forest birds. Animal Conservation, 3: 15-26.",article,1993-1994,"42, -72*","housing development, agriculture",white red jack pine,community,distance to edge + patch size > ground cover + vegetation structure + dbh + canopy cover > bird species richness + bird abundance,
"Melles, S.J. 2007. Effects of forest connectivity, habitat availability, and intraspecific biotic processes on range expansion: Hooded warbler (Wilsonia citrina) as a model species. University of Toronto.",thesis,2004-2005,"43, -80*","rural dwellings, farms",maple beech birch,HOWA,distance to edge > nest predation + brood parasitism; patch size > territory density + pairing success; patch size > habitat quality > nest site selection,
"De Wan, A.A., P.J. Sullivan, A.J. Lembo, C.R. Smith, J.C. Maerz, J.P. Lassoie, and M.E. Richmond. 2009. Using occupancy models of forest breeding birds to prioritize conservation planning. Biological Conservation, 142: 982-991.",article,2006-2007,"42, -73*",urban and exurban development,maple beech birch,"RBNU, BRCR, VEER, OVEN, CERW, BLBW, BTBW, BTNW, SCTA",patch size + perimeter-edge ratio > occupancy,
"Akerman, G. 2007. Riparian buffers as breeding habitat for forest birds in Nova Scotia. Dalhousie University.",thesis,,"44, -65*",clearcut,,"YBSA, YBFL, REVI, RBNU, WIWR, RCKI, SWTH, WTSP, SAVS, SOSP, SWSP, OVEN, PAWA, YRWA",forest width > forest structure > bird abundance; basal area + coarse woody debris + ground cover = forest structure; forest width > breeding status + reproductive success,
"Kirsch, E.M., and B.R. Gray. 2017. Differences in breeding bird assemblages related to reed canary grass cover and forest structure on the upper Mississippi River. Journal of Fish and Wildlife Management, 8: 260-271.",article,2008,"44, -92*",,elm ash cottonwood,community,distance to edge > dbh + basal area + vegetation cover + invasive species > bird species richness + abundance,
"Brown, W.P. 2007. Body mass, habitat generality, and avian community composition in forest remnants. Journal of Biogeography, 34: 2168-2181.",article,2003-2005,"38, -75*",,,community,patch size > bird abundance,
"Lankau, H., E. Bayne, and C. Machtans. 2013. Ovenbird (Seiurus aurocapilla) territory placement near seismic lines is influenced by forest regeneration and conspecific density. Avian Conservation and Ecology, 8: 5.",article,2009,"60, -123*",seismic lines,spruce fir,OVEN,patch size > territory density; patch size + distance to edge > leaf litter depth > insect abundance; patch size + distance to edge > singing + territory defense; distance to edge > dbh + tree density + shrub density + ground cover + leaf litter depth; ,
"Villard, M.A., F.K.A. Schmiegelow, and M.K. Trzcinski. 2007. Short-term responses of forest birds to experimental clearcut edges. The Auk, 124: 828-840.",article,1993-1995,"55, -113",clearcut,aspen birch,"LEFL, REVI, BTGN, WTSP, OVEN, MOWA, YRWA",distance to edge > territory establishment + territory defense;,
"Morimoto, D.C., M.A. Frankel, M. Hersek, and F.E. Wasserman. 2012. Forest fragmentation effects on ovenbird populations in the urban region of eastern Massachusetts, USA. Urban Habitats, 7: 3.",article,1994-2000,"42, -71*",suburban development,oak hickory,OVEN,patch size > pairing success > reproductive success; daily nest survival + nest success + fledging success > reproductive success; nest success > number of nestlings; patch size > annual fecundity; patch size > adult survival + juvenile survival > population source,
"Hoover, J.P., M.C. Brittingham, and L.J. Goodrich. 1995. Effects of forest patch size on nesting success of Wood Thrushes. The Auk, 112: 146-155.",article,1990-1991,"40, -75*",agriculture,oak hickory,WOTH,patch size > brood parasite abundance + brood parasitism > nest success; patch size >  nest predator abundance > nest predation > nest success; patch size + distance to edge > nest success,
"Bakermans, M.H., and A.D. Rodewal.d 2006. Scale-dependent habitat use of Acadian flycatcher (Empidonax virescens) in central Ohio. The Auk, 123: 368-382.",article,2001-2002,"40, -82*",agricultural to urban gradient,,ACFL,forest width > vegetation characteristics + understory vegetation density + food abundance; food abundance > food availability > nest success; vegetation characteristics > bird abundance; food abundance > bird abundance; forest width > bird abundance + daily nest failure + reproductive success,
"Rich, A.C., D.S. Dobkin, and L.J. Niles. 1994. Defining forest fragmentation by corridor width: the influence of narrow forest-dividing corridors on forest-nesting birds in southern New Jersey. Conservation Biology, 8: 1109-1121.",article,1991,"39, -74*","unpaved and paved roads, powerline corridors",oak pine,community,distance to edge > bird abundance,
"Kearns, L.J. 2012. Avian responses to predator communities in fragmented, urbanizing landscapes. The Ohio State University.",thesis,2007-2010,"39, -82*",urban development,elm ash cottonwood,"ACFL, NOCA",patch size > nest success > renesting attempts; patch size > nest predator activity; vegetation density > nest concealment > nest survival + nest site selection; nest height > nest survival; predation risk > provisioning rates; nest concealment > provisioning rates; ,
"Hobson, K.A., and E. Bayne. 2000. Effects of forest fragmentation by agriculture on avian communities in the southern boreal mixedwoods of western Canada. Wilson Journal of Ornithology, 112: 373-387.",article,1993-1997,"53, -106",agriculture,spruce fir,community,patch size > bird species richness + bird abundance; patch size > nest success,
"Jenkins, J.M.A. 2016. Nesting and postfledging ecology of neotropical migrant songbirds in Missouri forest fragments. University of Missouri Columbia.",thesis,2012-2015,"38, -92","old fields, pasture, cropland",mixed,"ACFL, OVEN",distance to edge + fledging mass + number of fledglings + brood parasitism + ground cover + shrub density + leaf litter depth + understory vegetation cover + sapling density + tree density + basal area + canopy cover > nest survival,
"Wood, J.M., and J.E. Quinn. 2016. Local and landscape metrics identify opportunities for conserving cavity-nesting birds in a rapidly urbanizing ecoregion. Journal of Urban Ecology, 2: juw003.",article,2013-2014,"34, -82*",urban,loblolly shortleaf pine,"GCFL, CACH, TUTI, WBNU, BHNU, CARW",patch size > canopy cover + snag density > bird abundance,
"Martin, J.A., and M.L. Morrison. 1999. Distribution, abundance, and habitat characteristics of the buff-breasted flycatcher in Arizona. The Condor, 101: 272-281.",article,1995-1996,"31, -110*",,pinyon juniper,BBFL,tree density + dbh + vegetation cover > habitat use; territory defense > pairing success > nest building > number of nestlings > fledging success > renesting attempts > reproductive success; forest width > occupancy,
"DeGregorio, B.A., P.J. Weatherhead, and J.H. Sperry. 2016. Ecology and predation behavior of corn snakes (Pantherophis guttatus) on avian nests. Herpetological Conservation and Biology, 11: 150-159.",article,2011-2013,"33, -81*","shrubland, dirt roads, powerline corridors",,"BRTH, NOCA, BLGR, INBU",distance to edge > snake activity > nest predation,
"Harris, L.D., and R.D. Wallace. 1984. Breeding bird species in Florida forest fragments. Proceedings of the Annual Conference of the Southeastern Association of Fish and Wildlife Agencies, 38: 87-96.",conference proceedings,1978,"29, -81*","agriculture, development",hardwood,community,patch size > bird species richness,
"Kasumovic, M.M., L.M. Ratcliffe, and P.T. Boag. 2009. Habitat fragmentation and paternity in Least Flycatchers. The Wilson Journal of Ornithology, 121: 306-313.",article,2000-2001,"45, -76 ",,maple beech birch,LEFL,patch size > bird community ; patch size > bird abundance                                                                                                                                                                                                                                                                              ,
"McIntyre, B.M. 2001. The role of spatial scale in breeding habitat selection of Neotropical migrant birds in Albemarle County, Virginia. University of Virginia.",thesis,1998,"38, -79 ","scrub, shrub, agriculture, development",mixed,"OVEN, WOTH, WEWA, PIWA, YBCH, COYE, PRWA, BHCO",patch size > vegetation structure ; patch size > bird community ; patch size > territory density ; patch size > singing rate > pairing success ; patch size > nest success ; patch size > number of fledglings ; patch size > nest predation ; patch size > nest abandonment                                                           ,
"Keller, M.E., and S.H. Anderson. 1992. Avian use of habitat configurations created by forest cutting in southeastern Wyoming. The Condor, 94: 55-65.",article,1985-1986,"41, -107 ",clearcutting,fir/spruce/mountain hemlock,community,edge characteristics > bird community ; distance to edge > bird community ; distance to edge > bird abundance                                                                                                                                                                                                                          ,
"Tewksbury, J.J. 2000. Breeding biology of birds in a western riparian forest: from demography to behavior. University of Montana.",thesis,1995-1996,"46, -114 ",agriculture,aspen birch,"AMRO, CEDW, WAVI, YEWA, BHGR",patch size > habitat quality > canopy bird species ; patch size > open canopy > shrub layer > bird abundance ; patch size > ground vegetation coverage > habitat quality                                                                                                                                                               ,
"Sperry, D.M., M. Kissling, and T.L. George. 2008. Avian nest survival in coastal forested buffer strips on Prince of Wales Island, Alaska. The Condor, 110: 740-746.",article,2003-2004,"56, -133 ",marine; clearcut,hemlock/sitka spruce,"PSFL, CBCH, PAWR, SWTH, HETH, VATH",distance to edge > brood parasitism > nest success ; distance to edge > nest predation ; nest predation > reproductive success ; brood parasitism > reproductive success ; reproductive success > site fidelity ; site fidelity > population sink ; patch size > reproductive success > site fidelity > population sink                ,
"Keller, G.S. 2001. Community structure and distributional patterns of avifauna in isolated deciduous-forest patches in south-central Pennsylvania. Pennsylvania State University.",thesis,1994-1996,"40, -77 ","agricultural fields, pastures, powerlines, roads",deciduous,community,distance to edge > brood parasite abundance ; distance to edge > brood parasitism ;                                                                                                                                                                                                                                                    ,
"Winslow, D.E. 2003. The effects of forest management practices on reproductive success of neotropical migrant birds in south-central Indiana. Indiana University.",thesis,1990-1992,"38, -87 ",agricultural fields,maple beech birch,community,distance to edge > brood parasitism ;                                                                                                                                                                                                                                                                                                  ,
"Rodewald, A.D., and D.P. Shustack. 2008. Consumer resource matching in urbanizing landscapes: are synanthropic species over-matching. Ecology, 89: 515-521.",article,2004-2006,"40, -83 ","urban, development, agricultural",riparian,NOCA,patch size > bird community ; vegetation structure > bird community                                                                                                                                                                                                                                                                    ,
"Peak, R.G., and F.R. Thompson III. 2006. Factors affecting avian species richness and density in riparian areas. Journal of Wildlife Management, 70: 173-179.",article,2000-2001,"40, -92 ","crops, grasslands",oak hickory,"ACFL, GRCA, COYE, FISP, NOCA, INBU, KEWA, LOWA, OVEN, WOTH",distance to edge > brood parasitism ; distance to edge > nest predation ; distance to edge > bird abundance ; distance to edge > brood parasite abundance ; distance to edge > nest success > nest success                                                                                                                             ,
"Lynch, J.F., and D.G. Whigham. 1982. Configuration of forest patches necessary to maintain bird and plant communities. Final Reported to Maryland Department of Natural Resources Power Plant Siting Commission.",government report,1979-1980,"39, -76 ","farmland, cropland",oak pine,community,distance to edge > brood parasite abundance ; territory density > brood parasite abundance ; distance to edge > territory density > nest predation ; distance to edge > predator abundance > nest predation ; distance to edge > vegetation structure > nest concealment > nest predation                                              ,
"Phillips, J., E. Nol, D. Burke, and W. Dunford. 2005. Impacts of housing developments on Wood Thrush nesting success in hardwood forest fragments. The Condor, 107: 97-106.",article,2000-2003,"44, -78 ","row crops, hay fields, exurban development",maple beech birch,WOTH,patch size > bird community ; vegetation structure > bird community                                                                                                                                                                                                                                                                    ,
"Rodewald, A.D., and D.P. Shustack. 2008. Urban flight: understanding individual and population-level responses of Nearctic-Neotropical migratory birds to urbanization. Journal of Animal Ecology, 77: 83-91.",article,2001-2006,"40, -83 ",urban development and agriculture,riparian,ACFL,patch size > bird abundance                                                                                                                                                                                                                                                                                                            ,
"Griffis-Kyle, K.L., and P. Beier. 2003. Small isolated aspen stands enrich bird communities in southwestern ponderosa pine forests. Biological Conservation, 110: 375-385.",article,1996-1997,"35, -111 ",other forest types,ponderosa pine,community,nest concealment > nest success ; vegetation structure > nest success ; exotic species > nest success ; plant community > nest success ; nest site selection > nest success ; nest branch support > nest success ; distance to edge > nest site selection > nest success ; distance to edge > nest success ; matrix type > nest success,
"Pruett, M.S. 2008. Avian nest survival and breeding density in cottonwood plantations and native forest fragments in southeast Missouri. University of Missouri-Columbia.",thesis,2004-2006,"37, -90 ",row cropping,oak hickory,"ACFL, PROW, INBU",patch size > number of offspring > reproductive success ; patch size > reproductive success ; patch size > extra-pair paternity ; patch size > breeding synchrony ; patch size > bird abundance ; breeding synchrony > extra-pair paternity ; bird abundance > extra-pair paternity                                                    ,
"Hahn, D.C., and J.S. Hatfield. 1995. Parasitism at the landscape scale: cowbirds prefer forests. Conservation Biology, 9: 1415-1424.",article,1991-1992,"52, -74 ",old fields,oak hickory,"WOTH, AMRE, VEER, OVEN, REVI",patch size > bird abundance                                                                                                                                                                                                                                                                                                            ,
"Driscoll, M.J.L., T. Donovan, R. Mickey, A. Howard, and K.K. Fleming. 2005. Determinants of wood thrush nest success: a multi-scale, model selection approach. Journal of Wildlife Management, 69: 699-709.",article,1998-2000,"43, -77 ","agricultural land, parks, lawns",oak hickory,WOTH,distance to edge > nesting success ; distance to edge > brood parasitism ; distance to edge > seasonal productivity                                                                                                                                                                                                                    ,
"Darveau, M. J.L. DesGranges, and G. Gauthier. 1992. Habitat use by three breeding insectivorous birds in declining maple forests. The Condor, 94: 72-82.",article,1987-1989,"46, -71 ",agriculture,maple beech birch,"LEFL, REVI, BTBW",patch size > occupancy ; urbanization > adult survival ; urbanization > body size ; urbanization > nest success ; urbanization > brood parasitism ; urbanization > number of fledglings ; urbanization > nest predation > site fidelity                                                                                                ,
"Trine, C.L. 1996. Mechanisms underlying population dynamics of a migratory songbird in a fragmented forest. University of Illinois at Urbana-Champaign.",thesis,1989-1992,"37, -89 ","campground, wildlife openings, gravel road",oak hickory,WOTH,patch size > bird community ; patch size > bird abundance ; patch size > vegetation structure ; vegetation structure > bird community ; vegetation structure > bird abundance ;                                                                                                                                                        ,
"Zuwerink, D.A. 2007. Demographic and behavioral responses of permanent-resident cavity-nesting birds to forest fragmentation and West Nile Virus. Ohio State University.",thesis,2002-2006,"41, -83 ",row-crop agriculture,oak hickory,CACH,patch size > nest success ; patch size > heterospecific density > nest usurpation > nest predation > nest success                                                                                                                                                                                                                      ,
"Wander, S.A. 1985. Comparative breeding biology of the ovenbird in large vs. fragmented forests: implications for the conservation of neotropical migrant birds. Rutgers University.",thesis,1982-1984,"41, -75 ",development,oak hickory,OVEN,patch size > nest success ; distance to edge > nest success ; matrix type > predator abundance ; matrix type > predator community ; matrix type > predator activity ; patch size > clutch size ; patch size > number of fledglings                                                                                                     ,
"Henschell, M.A. 2016. The effects of human activity on avian communities in the Baraboo Hills. University of Wisconsin-Madison.",thesis,2012-2014,"43, -90 ",recreational trails,oak hickory,"ACFL, AMRO, WOTH",patch size > bird abundance ; patch size > adult body condition ; patch size > adult survival ; patch size > reproductive success                                                                                                                                                                                                      ,
"Donovan, T.M., P.W. Jones, E.M. Annand, and F.R. Thompson III. 1997. Variation in local-scale edge effects: mechanisms and landscape cotnext. Ecology, 78: 2064-2075.",article,1995,"38, -90 ",,oak hickory,community,patch size > nest success ; patch size > brood parasitism                                                                                                                                                                                                                                                                              ,
"Kissling, M.L., and E.O. Garton. 2008. Forested buffer strips and breeding bird communities in southeast Alaska. Journal of Wildlife Management, 72: 674-681.",article,2001-2002,"59, -136 ","natural fragmentation by mountains, wetlands, wind-throw",hemlock sitka spruce,"PSFL, RCKI",edge characteristics > bird community ; edge characteristics > bird abundance ; vegetation structure > bird community ; vegetation structure > bird abundance ; edge characteristics > bird community ; edge characteristics > bird abundance ; edge characteristics > nest success                                                    ,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
